timestamp,servidor,evento,duracao_falha_ms,estado_gcp,estado_aws
2026-03-18T17:43:59.376734Z,SISTEMA,INICIO_MONITORAMENTO,0,desconhecido,desconhecido
2026-03-18T17:43:59.613785Z,GCP,OPERANDO_INICIAL,0,desconhecido,desconhecido
2026-03-18T17:43:59.716558Z,AWS,OPERANDO_INICIAL,0,operando,desconhecido
2026-03-18T17:51:13.245680Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T17:53:23.177015Z,GCP,REPARO,129931,nao_operando,operando
2026-03-18T17:55:49.921191Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T18:03:23.342590Z,GCP,REPARO,453421,nao_operando,operando
2026-03-18T18:09:58.895929Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T18:17:18.735232Z,GCP,REPARO,439839,nao_operando,operando
2026-03-18T18:21:46.891898Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T18:41:30.660773Z,GCP,REPARO,1183785,nao_operando,operando
2026-03-18T18:44:59.509062Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T18:59:30.940879Z,GCP,REPARO,871431,nao_operando,operando
2026-03-18T19:04:20.691956Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T19:32:14.828324Z,GCP,REPARO,1674136,nao_operando,operando
2026-03-18T19:34:45.058275Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T20:17:55.329969Z,GCP,REPARO,2590271,nao_operando,operando
2026-03-18T20:18:50.665040Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T20:25:00.412047Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:25:06.592274Z,AWS,REPARO,6180,nao_operando,nao_operando
2026-03-18T20:25:20.765267Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:25:25.920046Z,AWS,REPARO,5154,nao_operando,nao_operando
2026-03-18T20:25:33.945721Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:25:40.119942Z,AWS,REPARO,6174,nao_operando,nao_operando
2026-03-18T20:25:54.290436Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:26:15.321758Z,AWS,REPARO,21031,nao_operando,nao_operando
2026-03-18T20:26:17.334064Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:26:22.411454Z,AWS,REPARO,5077,nao_operando,nao_operando
2026-03-18T20:34:32.840862Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:34:50.146796Z,AWS,REPARO,17305,nao_operando,nao_operando
2026-03-18T20:35:21.359781Z,AWS,FALHA,0,nao_operando,nao_operando
2026-03-18T20:35:34.829970Z,AWS,REPARO,13470,nao_operando,nao_operando
2026-03-18T20:44:59.694111Z,GCP,REPARO,1569029,nao_operando,operando
2026-03-18T21:15:03.660616Z,GCP,FALHA,0,nao_operando,operando
2026-03-18T21:44:21.318751Z,GCP,REPARO,1757657,nao_operando,operando
2026-03-18T21:45:29.517568Z,SISTEMA,FIM_MONITORAMENTO,0,operando,operando
